,Ag,Al,Cu,Mg,Ni,Pb,Si,Sn,Ti,Zn,EVA,Glass,Steel
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.592754787338357e-09,3.4860293458726296e-07,1.5927547873383566e-08,1.2050842824956247e-08,2.4492361352467188e-11,1.0818711763052991e-10,1.2937376149984201e-07,1.3598519646615216e-09,1.2035816836396452e-13,1.8031186271754984e-13,1.3884013429251338e-07,1.3974169360610115e-06,2.2088203182899857e-07
2004,3.294907324040408e-08,7.2114952752582496e-06,3.2949073240404073e-07,2.492939314981516e-07,5.0666971114961e-10,2.2380502578387678e-09,2.676335099998859e-06,2.813104837977895e-08,2.4898309118456285e-12,3.730083763064613e-12,2.8721644975597516e-06,2.890814916375075e-05,4.56935260975415e-06
2005,1.9486761103135347e-07,4.265026958422075e-05,1.9486761103135344e-06,1.474375698557976e-06,2.9965491130293032e-09,1.3236290560620234e-08,1.582839746207503e-05,1.6637281885224043e-07,1.472537324869001e-11,2.2060484267700388e-11,1.69865728861293e-05,0.00017096875307467805,2.7024093227932977e-05
2006,7.008765838101089e-07,0.00015339940324900496,7.008765838101089e-06,5.302858681280257e-06,1.0777630486891299e-08,4.760671135313948e-08,5.692969232646262e-05,5.983899135359892e-07,5.296246638036767e-11,7.934451892189912e-11,6.109527956986232e-05,0.0006149200216447183,9.719703567932642e-05
2007,1.927611921391196e-06,0.0004218924205309033,1.927611921391196e-05,1.4584384537318293e-05,2.9641579545921224e-08,1.3093213050959068e-07,0.00015657300606771878,1.6457441404330492e-06,1.456619951919196e-10,2.1822021751598442e-10,0.00016802956748730803,0.0016912066857488798,0.00026731976645708093
2008,4.471672056371761e-06,0.000978705582149291,4.4716720563717604e-05,3.383283952085049e-05,6.876250426307519e-08,3.0373621514978e-07,0.00036321789061661186,3.8177954820909845e-06,3.379065393541302e-10,5.062270252496333e-10,0.00038979480944221763,0.003923259445684659,0.0006201281059308008
2009,9.222030018986699e-06,0.0020184065701933144,9.222030018986695e-05,6.977422712478613e-05,1.4181046161271997e-07,6.264020390255116e-07,0.000749072438334674,7.87352562941789e-06,6.968722684158816e-10,1.0440033983758523e-09,0.0008038826167494063,0.008091026337412856,0.0012789041630104194
2010,1.743362200178679e-05,0.003815660664542015,0.00017433622001786792,0.0001319034419380472,2.6808305531049493e-07,1.1841705510647633e-06,0.001416070617314946,1.4884365954355705e-05,1.317389738059549e-09,1.9736175851079383e-09,0.001519685540533113,0.01529553628458653,0.002417681541757225
2011,3.079347611849555e-05,0.0067397042070669495,0.0003079347611849554,0.00023298460233050404,4.7352232144479e-07,2.091632340124226e-06,0.002501243673398553,2.629065649739478e-05,2.3269409783882014e-09,3.486053900207043e-09,0.0026842615031594233,0.02701691772660459,0.004270416027753628
