,image_path,label
104,/content/drive/MyDrive/solar_PV/data/France/google_all/img/FPSKO3ABBCYMMG.png,1
175,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/HJHFE8403JWEVW.png,1
183,/content/drive/MyDrive/solar_PV/data/France/google_all/img/OBLAF3A65ATNQQ.png,1
265,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/YHULJ55FARYTOL.png,1
326,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZINBZ6A75CVNJO.png,1
430,/content/drive/MyDrive/solar_PV/data/France/google_all/img/POLMO8091HHJVH.png,1
539,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LLJTP61C7CRZOX.png,1
565,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/UPATY5A0AHANDW.png,1
569,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LCQMY6693WYWMY.png,1
582,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YZPQQ6B02JUDQH.png,1
609,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/OAZDQC92QQGOV.png,1
610,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LKNDN4192KYBCK.png,1
611,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/IMPYZ6818UBWWM.png,1
664,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XOWAE9E6DQZSS.png,1
751,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/IZMTG2435CLJIH.png,1
932,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PCMYS3A06XSBRC.png,1
934,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JKAVR25D4VZOEL.png,1
964,/content/drive/MyDrive/solar_PV/data/France/google_all/img/OQFMM2EC2IIHOQ.png,1
1026,/content/drive/MyDrive/solar_PV/data/France/google_all/img/AZTCCB02JOZCV.png,1
1028,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PZHVA7746OCVWB.png,1
1034,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZCXUS456CQWBYT.png,1
1050,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/QPPPP18C9SWNBE.png,1
1074,/content/drive/MyDrive/solar_PV/data/France/google_all/img/UHNNH73BGVCHY.png,1
1134,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EZXKM8B7NJNAT.png,1
1143,/content/drive/MyDrive/solar_PV/data/France/google_all/img/WKXGM3E5JVWKX.png,1
1162,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SPICZF7BTZDOH.png,1
1294,/content/drive/MyDrive/solar_PV/data/France/google_all/img/HLANX5B24DXDDJ.png,1
1364,/content/drive/MyDrive/solar_PV/data/France/google_all/img/TYPBK2F29RQLTJ.png,1
1492,/content/drive/MyDrive/solar_PV/data/France/google_all/img/OOXQH3C44HUSXE.png,1
1552,/content/drive/MyDrive/solar_PV/data/France/google_all/img/MHNJZ1D5ASHXHX.png,1
1560,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/OZMOU3EEBBDTRN.png,1
1578,/content/drive/MyDrive/solar_PV/data/France/google_all/img/IOUGB357INLZU.png,1
1632,/content/drive/MyDrive/solar_PV/data/France/google_all/img/TEEGW62DAFOODL.png,1
1678,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/HEFYT36A3GMYTC.png,1
1760,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PUPWG4EFAHBJVU.png,1
1808,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/VNPZD174CZCEZU.png,1
1960,/content/drive/MyDrive/solar_PV/data/France/google_all/img/DLVAM9C17ONXGT.png,1
2003,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QGBPW895EBPGWI.png,1
2009,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PCIYL2843RSJZN.png,1
2037,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/UKHHK2249OZUJZ.png,1
