,image_path,mask_path
117,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325197_1204175.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325197_1204175_label.bmp
151,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325146_1204232.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325146_1204232_label.bmp
208,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325130_1204240.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325130_1204240_label.bmp
246,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325146_1204243.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325146_1204243_label.bmp
315,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325213_1204175.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325213_1204175_label.bmp
465,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325367_1205525.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325367_1205525_label.bmp
498,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325361_1205359.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325361_1205359_label.bmp
524,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_Brick/PV01_325563_1204537.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_Brick/PV01_325563_1204537_label.bmp
531,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325421_1205356.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325421_1205356_label.bmp
561,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325130_1204229.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325130_1204229_label.bmp
634,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325190_1204167.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325190_1204167_label.bmp
759,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325199_1204172.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325199_1204172_label.bmp
782,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325211_1204167.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325211_1204167_label.bmp
786,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325194_1204246.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325194_1204246_label.bmp
816,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325338_1205383.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325338_1205383_label.bmp
990,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325204_1204172.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325204_1204172_label.bmp
1041,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325367_1205530.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325367_1205530_label.bmp
1042,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325224_1204200.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325224_1204200_label.bmp
1075,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325144_1204227.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_SteelTile/PV01_325144_1204227_label.bmp
1088,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_Brick/PV01_325574_1204561.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_Brick/PV01_325574_1204561_label.bmp
1091,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325215_1204191.bmp,/content/drive/MyDrive/solar_PV/data/China/PV01_Rooftop_FlatConcrete/PV01_325215_1204191_label.bmp
