,image_path,mask_path
69,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/positive/ab9754c8-de68-41f9-ab32-a10f07af3a4b.png,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/mask/ab9754c8-de68-41f9-ab32-a10f07af3a4b.png
73,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/a3381fc3-9b31-4888-b474-8633d34036ce.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/a3381fc3-9b31-4888-b474-8633d34036ce.png
74,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/d0b86abd-37ed-42ab-bc88-812940c35132.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/d0b86abd-37ed-42ab-bc88-812940c35132.png
110,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/302b5f00-ec1b-4e5f-a7c3-2e3d59af145a.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/302b5f00-ec1b-4e5f-a7c3-2e3d59af145a.png
149,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/positive/05b244e5-6768-43db-8da7-42a3ace5bef2.png,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/mask/05b244e5-6768-43db-8da7-42a3ace5bef2.png
161,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/positive/e9d989fe-beba-406b-975b-37bc996825b6.png,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/mask/e9d989fe-beba-406b-975b-37bc996825b6.png
178,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/80812a80-6591-4e9d-ada9-5c33dae6d1f0.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/80812a80-6591-4e9d-ada9-5c33dae6d1f0.png
222,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/positive/2654367d-1571-4d3c-9ac8-c3b4de463cf9.png,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/mask/2654367d-1571-4d3c-9ac8-c3b4de463cf9.png
264,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/positive/aa3d1244-3349-469b-92d3-c6698643f8b4.png,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/mask/aa3d1244-3349-469b-92d3-c6698643f8b4.png
268,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/9cb9c168-5fff-483c-8f7a-b62692d5ea16.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/9cb9c168-5fff-483c-8f7a-b62692d5ea16.png
309,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/positive/c54a3bbd-34c0-424d-80a3-346ed7829ad3.png,/content/drive/MyDrive/solar_PV/data/Denmark/gentofte/mask/c54a3bbd-34c0-424d-80a3-346ed7829ad3.png
358,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/fabf57ed-753a-47cb-9c70-a96d18f33283.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/fabf57ed-753a-47cb-9c70-a96d18f33283.png
366,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/75cb7700-9d32-4c6e-9d05-98b5f2b98b91.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/75cb7700-9d32-4c6e-9d05-98b5f2b98b91.png
430,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/e021567f-6086-4edf-b204-ec908bd0cdb3.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/e021567f-6086-4edf-b204-ec908bd0cdb3.png
442,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/1765a651-f488-4c08-8435-3b255167486a.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/1765a651-f488-4c08-8435-3b255167486a.png
444,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/240ccde7-3f50-403b-833b-2cdcba2d700e.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/240ccde7-3f50-403b-833b-2cdcba2d700e.png
500,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/5c42be4e-bec0-4835-bfba-adbdfe1b7310.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/5c42be4e-bec0-4835-bfba-adbdfe1b7310.png
504,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/14125b64-3267-475c-af1b-3d12b1923a81.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/14125b64-3267-475c-af1b-3d12b1923a81.png
555,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/c8b75d11-6e90-404f-85d3-398b49c22173.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/c8b75d11-6e90-404f-85d3-398b49c22173.png
705,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/d10bdd3c-8c4e-4d18-9a8e-e2452d5254ab.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/d10bdd3c-8c4e-4d18-9a8e-e2452d5254ab.png
789,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/8ee996f1-1b90-46c4-a68d-133a9348ac1b.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/8ee996f1-1b90-46c4-a68d-133a9348ac1b.png
794,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/positive/9a02b681-2199-481d-857c-3f4ad7217f99.png,/content/drive/MyDrive/solar_PV/data/Denmark/herlev/mask/9a02b681-2199-481d-857c-3f4ad7217f99.png
