,image_path,mask_path
1,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ABPXI8DAMPGYI.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/ABPXI8DAMPGYI.png
6,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/LNJBH594ABMUDU.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/LNJBH594ABMUDU.png
8,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KXIOC6B12HHHHP.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/KXIOC6B12HHHHP.png
9,/content/drive/MyDrive/solar_PV/data/France/google_all/img/CTIMP60D7DEWWU.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/CTIMP60D7DEWWU.png
10,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LFJRE1A64EZPZH.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/LFJRE1A64EZPZH.png
11,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EMVDX5E01ANQJD.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/EMVDX5E01ANQJD.png
12,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/LMTSY746DLFDTE.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/LMTSY746DLFDTE.png
13,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JQXLD6603FPBEX.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/JQXLD6603FPBEX.png
14,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PPZZT67DEYFZDL.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/PPZZT67DEYFZDL.png
15,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JBNLI328CPWROB.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/JBNLI328CPWROB.png
21,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/SATQR4CD9WJQEM.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/SATQR4CD9WJQEM.png
22,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EVJSJ21B2DDJAL.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/EVJSJ21B2DDJAL.png
23,/content/drive/MyDrive/solar_PV/data/France/google_all/img/FXEDN2722KLSJA.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/FXEDN2722KLSJA.png
24,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SPKYF91FJKOMI.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/SPKYF91FJKOMI.png
25,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/MQKXI62EBSDAUO.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/MQKXI62EBSDAUO.png
26,/content/drive/MyDrive/solar_PV/data/France/google_all/img/WOJKI620EVAHDA.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/WOJKI620EVAHDA.png
30,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/LUBPE5E4FROYBS.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/LUBPE5E4FROYBS.png
33,/content/drive/MyDrive/solar_PV/data/France/google_all/img/IPBKV3B97QTFTK.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/IPBKV3B97QTFTK.png
34,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JUBLO3EB9SLRAJ.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/JUBLO3EB9SLRAJ.png
35,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ASJJZC42BOTRG.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/ASJJZC42BOTRG.png
40,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ITBGH55DBFSXRI.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/ITBGH55DBFSXRI.png
43,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/UKTAI72F4HVOEK.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/UKTAI72F4HVOEK.png
44,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YIDBQ4E2DFMGWS.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/YIDBQ4E2DFMGWS.png
45,/content/drive/MyDrive/solar_PV/data/France/google_all/img/GCVPRAB6PMKFD.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/GCVPRAB6PMKFD.png
46,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RLIXA9CFEVNVYG.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/RLIXA9CFEVNVYG.png
47,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KMLMF39D2WHXWY.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/KMLMF39D2WHXWY.png
48,/content/drive/MyDrive/solar_PV/data/France/google_all/img/MSSIS484CUVXGK.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/MSSIS484CUVXGK.png
49,/content/drive/MyDrive/solar_PV/data/France/google_all/img/DRKGO7E5CDWHMA.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/DRKGO7E5CDWHMA.png
50,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QVWVN2876GARTH.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/QVWVN2876GARTH.png
51,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/RZYKN32B2PGDZZ.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/RZYKN32B2PGDZZ.png
54,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/MYVRZ2C80NAJHH.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/MYVRZ2C80NAJHH.png
55,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RPART65F5TJTCJ.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/RPART65F5TJTCJ.png
56,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/DEVHS6FE9FZNUC.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/DEVHS6FE9FZNUC.png
57,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/OPCMM6266NWWKI.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/OPCMM6266NWWKI.png
60,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/CLYPG1ED2KHVUL.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/CLYPG1ED2KHVUL.png
61,/content/drive/MyDrive/solar_PV/data/France/google_all/img/NQHWL40FDYOZEU.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/NQHWL40FDYOZEU.png
63,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ISEKZ39D1YILVK.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/ISEKZ39D1YILVK.png
64,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PXTZF2C4CDNZYS.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/PXTZF2C4CDNZYS.png
65,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/QLBFD3E53OTBQU.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/QLBFD3E53OTBQU.png
66,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YWGYQ4F9CJPBWW.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/YWGYQ4F9CJPBWW.png
67,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ZQTIO3617CNDJR.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/ZQTIO3617CNDJR.png
70,/content/drive/MyDrive/solar_PV/data/France/google_all/img/BLXSS7D7CXVFBG.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/BLXSS7D7CXVFBG.png
75,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XJQUJ4D85UUZSR.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/XJQUJ4D85UUZSR.png
78,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JVLWM33AANOXFH.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/JVLWM33AANOXFH.png
79,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/VUMRD2C08NNHAF.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/VUMRD2C08NNHAF.png
86,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/FDSUI2CE7WRIUS.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/FDSUI2CE7WRIUS.png
88,/content/drive/MyDrive/solar_PV/data/France/google_all/img/MPPKP2199WFEZF.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/MPPKP2199WFEZF.png
90,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LJRBB5BF2SJCXT.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/LJRBB5BF2SJCXT.png
91,/content/drive/MyDrive/solar_PV/data/France/google_all/img/WZKHO9648UFFDA.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/WZKHO9648UFFDA.png
94,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/UOEKP3E09VQMDP.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/UOEKP3E09VQMDP.png
96,/content/drive/MyDrive/solar_PV/data/France/google_all/img/AHDRN36A4CRUBF.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/AHDRN36A4CRUBF.png
98,/content/drive/MyDrive/solar_PV/data/France/google_all/img/FUYAM2B23GMDKJ.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/FUYAM2B23GMDKJ.png
101,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/HCDQZ57EDYYRNA.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/HCDQZ57EDYYRNA.png
102,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LYEIB80B3QMPMK.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/LYEIB80B3QMPMK.png
103,/content/drive/MyDrive/solar_PV/data/France/google_all/img/FBZFW723BATYOC.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/FBZFW723BATYOC.png
105,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YXUFJ38B8FBKIU.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/YXUFJ38B8FBKIU.png
107,/content/drive/MyDrive/solar_PV/data/France/google_all/img/OOEWK3C11IWZNO.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/OOEWK3C11IWZNO.png
108,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/KZGPCCB6WIXBL.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/KZGPCCB6WIXBL.png
109,/content/drive/MyDrive/solar_PV/data/France/google_all/img/CCFCT7979MVDOD.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/CCFCT7979MVDOD.png
111,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/MSXDT5BBCVCNOG.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/MSXDT5BBCVCNOG.png
112,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JAEIR629BTGOHA.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/JAEIR629BTGOHA.png
113,/content/drive/MyDrive/solar_PV/data/France/google_all/img/USEAQ5F9EIYPQI.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/USEAQ5F9EIYPQI.png
114,/content/drive/MyDrive/solar_PV/data/France/google_all/img/GGRYD5BBBRRRKR.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/GGRYD5BBBRRRKR.png
121,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/LFDXI5C91ZYFYK.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/LFDXI5C91ZYFYK.png
122,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/JDUAL4982WQBKD.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/JDUAL4982WQBKD.png
123,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/PFQTL10F4ZDLAE.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/PFQTL10F4ZDLAE.png
125,/content/drive/MyDrive/solar_PV/data/France/google_all/img/TABSD84D5RNRQL.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/TABSD84D5RNRQL.png
127,/content/drive/MyDrive/solar_PV/data/France/google_all/img/CAEBJ793ATSLEH.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/CAEBJ793ATSLEH.png
129,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YJGTP1B98ILBRJ.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/YJGTP1B98ILBRJ.png
130,/content/drive/MyDrive/solar_PV/data/France/google_all/img/CEMUN42FBESWVB.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/CEMUN42FBESWVB.png
135,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VCKAT39F7VJTOU.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/VCKAT39F7VJTOU.png
137,/content/drive/MyDrive/solar_PV/data/France/google_all/img/MHGZC771EGKFI.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/MHGZC771EGKFI.png
138,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/TYPMZBABKTHSH.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/TYPMZBABKTHSH.png
139,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/LZMRH11EBFQVWK.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/LZMRH11EBFQVWK.png
140,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/BWLHH1844IHTIA.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/BWLHH1844IHTIA.png
141,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/QELYV990AJVQPX.png,/content/drive/MyDrive/solar_PV/data/France/ign_all/mask/QELYV990AJVQPX.png
143,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EPYEY6FABWKSUH.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/EPYEY6FABWKSUH.png
148,/content/drive/MyDrive/solar_PV/data/France/google_all/img/BJREC15E0PPBTZ.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/BJREC15E0PPBTZ.png
150,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JOHHV505ENNOBJ.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/JOHHV505ENNOBJ.png
152,/content/drive/MyDrive/solar_PV/data/France/google_all/img/GCQBX7248DRMBZ.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/GCQBX7248DRMBZ.png
158,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XOMDT2282QRWYJ.png,/content/drive/MyDrive/solar_PV/data/France/google_all/mask/XOMDT2282QRWYJ.png
