,image_path,mask_path
0,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska535815/2688_3328.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska535815/2688_3328.png
2,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska505725/4608_3456.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska505725/4608_3456.png
3,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska520785/4608_0.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska520785/4608_0.png
4,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/original_patches_new_x4/10sfg795670/3200_3968.png,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/mask_patches_new_x4/10sfg795670/3200_3968.png
5,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska550875/384_384.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska550875/384_384.png
7,/content/drive/MyDrive/solar_PV/data/US/Stockton_all/original_patches_new_x4/10sfh540000/896_2560.png,/content/drive/MyDrive/solar_PV/data/US/Stockton_all/mask_patches_new_x4/10sfh540000/896_2560.png
16,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska520785/4992_384.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska520785/4992_384.png
17,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska580755/2304_2816.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska580755/2304_2816.png
18,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/original_patches_new_x4/10sfg765685/768_1920.png,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/mask_patches_new_x4/10sfg765685/768_1920.png
19,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska580785/128_768.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska580785/128_768.png
20,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska610755/4864_3840.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska610755/4864_3840.png
27,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska460770/2176_768.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska460770/2176_768.png
28,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/original_patches_new_x4/10sfg765685/3712_3968.png,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/mask_patches_new_x4/10sfg765685/3712_3968.png
29,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska580710/128_256.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska580710/128_256.png
31,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/original_patches_new_x4/10sfg750685/4608_896.png,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/mask_patches_new_x4/10sfg750685/4608_896.png
32,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska520785/3840_4480.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska520785/3840_4480.png
36,/content/drive/MyDrive/solar_PV/data/US/Oxnard_all/original_patches_new_x4/621051885/3968_2816.png,/content/drive/MyDrive/solar_PV/data/US/Oxnard_all/mask_patches_new_x4/621051885/3968_2816.png
37,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska610755/1664_896.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska610755/1664_896.png
38,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska535860/4608_768.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska535860/4608_768.png
39,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska580800/1024_1664.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska580800/1024_1664.png
41,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska640785/2944_384.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska640785/2944_384.png
42,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska520755/1152_256.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska520755/1152_256.png
52,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/original_patches_new_x4/11ska550830/4224_128.png,/content/drive/MyDrive/solar_PV/data/US/Fresno_all/mask_patches_new_x4/11ska550830/4224_128.png
53,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/original_patches_new_x4/10sfg810685/3712_1536.png,/content/drive/MyDrive/solar_PV/data/US/Modesto_all/mask_patches_new_x4/10sfg810685/3712_1536.png
58,/content/drive/MyDrive/solar_PV/data/US/Stockton_all/original_patches_new_x4/10sfh480105/4352_1024.png,/content/drive/MyDrive/solar_PV/data/US/Stockton_all/mask_patches_new_x4/10sfh480105/4352_1024.png
